addr,chargeTp,cpNm,csId,csNm
경기도 성남시 수정구 제일로 202 지상주차장 정면,1,완속02,25,성남지사(공용)
경기도 안양시 동안구 귀인로 59 지상주차장 입구 좌측 담장측,2,급속01,27,안양지사
경기도 고양시 일산동구 중앙로 1036 지하4층,2,급속01,2041,고양종합터미널환승주차장
경기도 양평군 양평읍 양근리 234 읍사무소 좌측뒤편 주차장,2,급속01,2028,양평읍사무소
경기도 수원시 장안구 영화동 230-3 지상1F 주차장,2,급속02,228,영화동 공영주차장
경기도 성남시 분당구 판교동 19-2 지하1층 주차장 B09,2,급속01,3044,판교역 환승주차장
경기도 수원시 권선구 구운동 218-1 식자재 매장 앞 주차장,2,급속01,2598,수원유통센터
경기도 수원시 팔달구 덕영대로 691-13 지상1F 주차장,2,급속01,227,화서역 환승주차장
경기도 수원시 권선구 금곡동 1116 지상 4층 62번 기둥,2,급속01,2065,홈플러스 서수원점
경기도 성남시 수정구 제일로 202 지상주차장 정면,2,급속02,25,성남지사(공용)
경기도 양평군 서종면 문호리 766-1 면사무소 뒷편 주차장,2,급속01,2027,서종면사무소
경기도 남양주시 진접읍 금강로유연들1길 154 5층 주차장,2,급속01,2029,이마트 진접점
경기도 양주시 남방동 1-1 요금소 지나서 100m앞오른쪽주차장,2,급속01,2032,양주시청
경기도 연천군 전곡읍 은대리 573 전곡읍사무소 왼쪽 지상주차장,2,급속01,2036,전곡읍사무소
"경기도 고양시 덕양구 화정로 63 지하주차장 1층, 언덕넘어, 좌측 D-2 구역",2,급속01,2046,화정환승공영주차장
경기도 가평군 조종면 현리 567-7 지상주차장,2,급속01,2049,조종면사무소
경기도 용인시 처인구 모현읍 왕산리 815-2 지상주차장,2,급속01,2061,모현농협 하나로마트
경기도 남양주시 진접읍 해밀예당1로 8 옥외 주차장,2,급속02,2030,하나로마트 진접점
경기도 양주시 남방동 1-1 요금소 지나서 100m앞오른쪽주차장,2,급속02,2032,양주시청
경기도 고양시 일산동구 중앙로 1036 1주차장(마트주차장)B3 왼쪽,2,급속01,2045,홈플러스 고양터미널점
경기도 화성시 봉담읍 동화리 597-1 F5 C1,2,급속01,2064,수원농협 하나로마트 봉담점
경기도 동두천시 평화로 2262 1층주차장(정문에서 좌측),2,급속01,302,동두천지사
경기도 화성시 마도면 마도북로 403 지사 후면 주차장(주차장진입시 정면에 위치),2,급속01,304,화성지사
경기도 화성시 마도면 마도북로 403 지사 후면 주차장(주차장진입시 정면에 위치),2,급속02,304,화성지사
경기도 용인시 처인구 마평동 703 지상주차장,2,급속02,2450,용인실내체육관
경기도 용인시 처인구 원삼면 고당리 88-1 지상주차장,2,급속01,2453,원삼면사무소
경기도 용인시 기흥구 관곡로 95 B1F,2,급속01,2459,기흥구청
경기도 용인시 처인구 김량장동 87-15 지상 주차장 좌측(후문앞),2,급속01,29,동용인지사(공용)
경기도 구리시 동구릉로 53번길 34 1층주차장(정문에서 좌측),2,급속01,389,인창문화센터
