addr,chargeTp,cpNm,csId,csNm
서울특별시 중구 남대문로 92 1층 주차장,2,급속01,14,서울직할
서울특별시 한강대로 23길 55 4.5F층 달주차장,2,급속06,120,용산역 아이파크몰
서울특별시 구로구 고척동 63-6 지하주차장옆 비상도로(지상),2,급속01,3028,고척스카이돔
서울특별시 중구 남대문로 92 1층 주차장,2,급속02,14,서울직할
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속09,120,용산역 아이파크몰
서울특별시 강북구 미아동 190-1 지하 1층 주차장,2,급속01,10,강북성북지사(공용)
서울특별시 중구 다동 85-4 한외빌딩 앞 노상주차장,2,급속01,2947,한국관광공사 옆 노상 공영주차장
서울특별시 중구 다동 85-4 한외빌딩 앞 노상주차장,2,급속02,2947,한국관광공사 옆 노상 공영주차장
서울특별시 구로구 고척동 63-6 지하주차장옆 비상도로(지상),2,급속02,3028,고척스카이돔
서울특별시 구로구 고척동 63-6 지하주차장옆 비상도로(지상),2,급속03,3028,고척스카이돔
서울특별시 한강대로 23길 55 4.5F층 달주차장,1,완속11,120,용산역 아이파크몰
서울특별시 성북구 안암동5가 126-16 (고려대학교안암캠퍼스) B3층 16번기둥,2,급속01,214,고려대학교(자연과학)
서울특별시 동대문구 망우로 18나길 20 휘경중학교 옆 배봉공영주차장 내,2,급속02,284,배봉공영주차장
"서울특별시 도봉구 마들로 656 (방학동, 도봉구청) 구청 지상주차장",2,급속01,212,도봉구청
서울특별시 성북구 안암동5가 1-2 (고려대학교안암캠퍼스) B3층 11번기둥,2,급속02,213,고려대학교
서울특별시 성북구 안암동5가 126-16 (고려대학교안암캠퍼스) B3층 16번기둥,1,완속01,214,고려대학교(자연과학)
서울특별시 강동구 구천면로 42길 60(천호동) 지하1층 주차장 좌측 바로 앞,2,급속01,225,천호1동 공영주차장
서울특별시 서초구 우면동 763 4층 주차장,2,급속01,2052,남서울농협 하나로마트 우면점
서울특별시 노원구 노원길 130 리더십센터,2,급속01,36,인재개발원
서울특별시 광진구 광나루로 56길 85 지하4층 주차장,2,급속01,289,강변테크노마트 주차장
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,2,급속06,194,상암월드컵경기장
서울특별시 금천구 시흥동 1020 금천구청 지상주차장 입구,2,급속01,220,금천구청 지상 주차장
